poll_id,sample_size,population,end_date,state,Biden,Buttigieg,Cheney,Christie,Clinton,Cohen,Cotton,Cruz,Cuban,DeSantis,Haley,Harris,Hawley,Hogan,Kennedy,M. Obama,Manchin,Mapstead,McConaughey,Musk,Newsom,Noem,Oliver,P. Murphy,Pence,Phillips,Pompeo,Pritzker,R. Scott,Ramaswamy,Romney,Rubio,Sanders,Scott,Segal,Shapiro,Stein,Sununu,Swift,Trump,Trump Jr.,Warren,West,Whitmer,Yang,Youngkin
79789,500,lv,8/17/22,Washington,53.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.6,,,,,,
79794,1156,lv,8/17/22,"",39,,,,,,,,,,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.5,,,,,,
79794,1500,rv,8/17/22,"",36,,,,,,,,,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.5,,,,,,
79817,1046,rv,8/21/22,New York,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,,,,,,
79821,1185,rv,8/22/22,"",39,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,,,,,,
79821,1563,a,8/22/22,"",35.5,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,,,,,,
79823,805,rv,8/22/22,"",44,,,,,,,,,31.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,,,,,,
79823,1000,a,8/22/22,"",37.6666666666667,,,,,,,,,27.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.5,,,,,,
79839,1054,lv,8/22/22,"",43.5,,12,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.75,,,,,8,
79839,1054,rv,8/22/22,"",44,,12,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,,,,,9,
79848,1034,lv,8/23/22,Pennsylvania,41.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.2,,,,,,
79857,1000,rv,8/24/22,"",43.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.3,,,,,,
79863,1000,lv,8/24/22,"",45,,,,,,,,,,,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,
79865,900,lv,8/9/22,California,,,,,,,,,,38,,,,,,,,,,,55,,,,,,,,,,,,,,,,,,,,,,,,,
79879,600,lv,8/29/22,Georgia,45.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.7,,,,,,
79889,721,lv,8/25/22,South Carolina,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,,,,,,
79898,1313,rv,8/25/22,"",50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,,,,,,
79924,1050,lv,8/28/22,"",40,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.5,,,,,,
79924,1500,rv,8/28/22,"",37,,,,,,,,,,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,,,,,,
79964,1247,rv,9/6/22,"",48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,,,,,,
79964,1634,a,9/6/22,"",43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,
80564,708,lv,9/8/22,Massachusetts,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.7,,,,,,
80570,627,lv,9/7/22,Arizona,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.2,,,,,,
80572,1000,lv,9/6/22,New York,52.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.4,,,,,,
80586,1854,rv,9/8/22,"",42,,,,,,,,,38,,40.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,,,,,,
80588,1000,lv,9/9/22,Connecticut,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.7,,,,,,
80599,1228,lv,9/7/22,"",46,,,,,,,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,,,,,,
80600,773,lv,9/7/22,Arizona,43,,,,,,,,,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,,,,,,
80601,815,lv,9/7/22,Florida,41.5,,,,,,,,,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,,,,,,
80602,751,lv,9/7/22,Georgia,47,,,,,,,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,,,,,,
80603,392,lv,9/7/22,Kansas,40,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,,,,,,
80604,506,lv,9/7/22,Louisiana,34.5,,,,,,,,,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,,,,,,
80605,831,lv,9/7/22,Ohio,40.5,,,,,,,,,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,,,,,,
80606,522,lv,9/7/22,Oklahoma,29,,,,,,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,,,,,,
80607,828,lv,9/7/22,Pennsylvania,47,,,,,,,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,,,,,,
80608,600,lv,9/7/22,South Carolina,40.5,,,,,,,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,,,,,,
80609,382,lv,9/7/22,Arkansas,32,,,,,,,,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,,,,,,
80610,373,lv,9/7/22,Rhode Island,49,,,,,,,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,,,,,,
80611,813,lv,9/7/22,Texas,42,,,,,,,,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,,,,,,
80612,320,lv,9/7/22,Mississippi,36.5,,,,,,,,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,,,,,,
80613,409,lv,9/7/22,Montana,35.5,,,,,,,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,,,,,,
80617,1020,lv,9/10/22,North Carolina,44.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.1,,,,,,
80620,1000,lv,9/10/22,Nevada,39.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.5,,,,,,
80628,1185,rv,9/5/22,"",43.3333333333333,,39.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.5,,,,,,
80628,1572,a,9/5/22,"",42.3333333333333,,38.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,,,,,,
80635,1000,lv,9/11/22,New Mexico,47.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.5,,,,,,
80659,1000,lv,9/13/22,Ohio,39.05,,,,,,,,,48.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.8,,,,,,
80661,1399,rv,9/14/22,"",45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,,,,,,
80666,800,lv,9/15/22,New Hampshire,46.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.2,,,,,,
80668,1163,lv,9/15/22,"",43,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,,,,,,
80668,1500,rv,9/15/22,"",37,,,,,,,,,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.5,,,,,,
80689,830,rv,9/18/22,Missouri,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,,,,,,
80704,860,lv,9/18/22,Wisconsin,44.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,,,,,,
80705,1056,lv,9/19/22,"",47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,,,,,,
80705,1056,rv,9/19/22,"",47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,,,,,,
80710,1000,lv,9/16/22,North Carolina,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,,,,,,
80715,500,lv,9/18/22,Florida,44,,,,,,,,,52,,42.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.1,,,,,,
80717,1000,lv,9/18/22,Kansas,35.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.5,,,,,,
80724,1282,rv,9/14/22,"",42.5,,,,,,,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,,,,,,
80724,1448,a,9/14/22,"",40,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,,,,,,
80745,1000,lv,9/19/22,Colorado,45.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,,,,,,
80746,600,lv,9/19/22,Michigan,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,,,,,,
80748,1703,a,9/19/22,"",51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,,,,,,
80763,1368,lv,9/21/22,"",45.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.9,,,,,,
80770,1164,lv,9/20/22,Maine,50.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.1,,,,,,
80773,1000,lv,9/22/22,"",45,,,,,,,,,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,
80801,908,rv,9/21/22,"",46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,,,,,,
80801,1006,a,9/21/22,"",48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,,,,,,
80817,1000,lv,9/22/22,Texas,39.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.1,,,,,,
80848,1000,lv,9/23/22,Illinois,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.3,,,,,,
80869,1138,rv,9/27/22,"",47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,,,,,,
80869,1566,a,9/27/22,"",41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,
80871,1000,lv,9/26/22,Pennsylvania,44.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.9,,,,,,
80872,1160,lv,9/27/22,Missouri,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.4,,,,,,
80905,918,rv,10/2/22,North Carolina,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,,,,,,
80927,796,lv,10/1/22,Oregon,50.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.5,,,,,,
80928,782,lv,10/1/22,Washington,49.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.7,,,,,,
80944,1128,lv,10/3/22,"",43,,,,,,,,,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,,,,,,
80944,1500,rv,10/3/22,"",39,,,,,,,,,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,,,,,,
80962,600,lv,10/4/22,Iowa,40.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,,,,,,
80963,402,lv,10/2/22,Rhode Island,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,,,
80965,959,lv,10/4/22,Iowa,38.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,,,,,,
80976,301,lv,10/6/22,Oklahoma,40.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.7,,,,,,
81005,1006,lv,10/5/22,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,39,,,,,,
81008,1000,lv,10/7/22,Georgia,43.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.2,,,,,,
81015,606,rv,10/8/22,North Carolina,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,,,,,,
81035,1000,lv,10/7/22,Ohio,38.7,,,,,,,,,49.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.6,,,,,,
81053,800,lv,10/11/22,"",48,,,,,,,,,,,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.5,,,,,,
81062,770,lv,10/11/22,Illinois,51,,,,,,,,,,,,,,,,,,,,,,,,,,,51,,,,,,,,,,,,42,,,,,,
81067,1110,lv,10/12/22,"",40,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.5,,,,,,
81067,1500,rv,10/12/22,"",36,,,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.5,,,,,,
81071,2010,rv,10/13/22,"",43,,,,,,,,,39,,39.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,,,,,,
81079,792,lv,10/12/22,"",44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,,,,,,
81079,792,rv,10/12/22,"",42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,,,,,,
81096,1000,lv,10/13/22,"",40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,,,,,,
81106,580,lv,10/14/22,Michigan,43.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.4,,,,,,
81109,1209,rv,10/17/22,"",46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,,,,,,
81109,1629,a,10/17/22,"",43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,,,,,,
81116,668,lv,10/15/22,Ohio,35.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.4,,,,,,
81158,1018,rv,10/18/22,New York,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,,,,,,
81164,1000,rv,10/19/22,"",43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.1,,,,,,
81166,719,lv,10/16/22,Florida,41.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.1,,,,,,
81175,1000,lv,10/17/22,"",44,,,,,,,,,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.5,,,,,,
81187,707,lv,10/17/22,Nevada,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,,,,,,
81210,1000,lv,10/19/22,Texas,40.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.4,,,,,,
81231,727,lv,10/19/22,New Hampshire,44.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.7,,,,,,
81242,1000,lv,10/21/22,Connecticut,49.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,
81275,1500,lv,10/21/22,South Dakota,32.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.1,,,,,,
81279,1000,lv,10/24/22,Illinois,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.1,,,,,,
81296,1000,lv,10/24/22,"",45.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.7,,,,,,
81307,1053,lv,10/24/22,Georgia,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,,,,,,
81309,1014,lv,10/26/22,"",45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,,,,,,
81309,1014,rv,10/26/22,"",45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,,,,,,
81337,1000,lv,10/24/22,New York,47.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.7,,,,,,
81374,825,lv,10/28/22,Utah,33.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,,,,,,
81375,1000,lv,10/28/22,Oklahoma,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.7,,,,,,
81389,1000,lv,10/28/22,New Mexico,47.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.2,,,,,,
81404,1000,lv,10/29/22,Colorado,46.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.4,,,,,,
81405,1000,lv,10/28/22,Missouri,36.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.9,,,,,,
81406,1500,rv,10/26/22,"",46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,,,,,,
81419,1000,lv,10/31/22,New York,51.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.9,,,,,,
81437,500,lv,10/27/22,Nevada,47,,,,,,,,,46,,,,,,,,,,,42,,,,,,,,,,,,,,,,,,,48,,,,,,
81438,1000,lv,10/29/22,Kansas,36.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.4,,,,,,
81445,1000,lv,10/29/22,Wisconsin,44.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.9,,,,,,
81451,1000,lv,10/29/22,North Carolina,40.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.6,,,,,,
81464,991,rv,11/1/22,Missouri,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,,,,,,
81468,1000,lv,10/31/22,Pennsylvania,44.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.3,,,,,,
81471,900,lv,10/31/22,Michigan,44.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.7,,,,,,
81482,1172,rv,10/31/22,"",48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,,,,,,
81482,1641,a,10/31/22,"",42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,,,,,,
81486,600,lv,10/25/22,New Hampshire,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,,,,,,
81487,1000,lv,10/25/22,Massachusetts,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,,,
81488,1000,lv,10/31/22,Georgia,43.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.9,,,,,,
81506,1000,v,10/30/22,"",45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,,,,,,
81519,850,lv,11/1/22,New Hampshire,45.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.7,,,,,,
81521,1000,lv,11/1/22,Arizona,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.2,,,,,,
81527,1084,lv,11/2/22,"",39,,,,,,,,,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.5,,,,,,
81527,1500,rv,11/2/22,"",39,,,,,,,,,,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,,,,,,
81537,5050,rv,10/26/22,"",,,,,,,,,,51,,,,,,,,,,,49,,,,,,,,,,,,,,,,,,,,,,,,,
81540,1000,lv,11/1/22,Ohio,38.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.3,,,,,,
81544,975,lv,11/1/22,Oregon,50.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.3,,,,,,
81625,579,lv,11/6/22,Georgia,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,,,,,,
81625,810,rv,11/6/22,Georgia,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,,,,,,
81626,560,lv,11/6/22,Arizona,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,,,,,,
81626,809,rv,11/6/22,Arizona,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,,,,,,
81627,631,lv,11/6/22,Pennsylvania,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,,,,,,
81627,904,rv,11/6/22,Pennsylvania,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,,,,,,
81628,505,lv,11/6/22,Ohio,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,,,,,,
81628,814,rv,11/6/22,Ohio,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,,,,,,
81635,1211,rv,11/2/22,"",47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,,,,,,
81635,1540,a,11/2/22,"",47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,,,,,,
81636,918,rv,11/6/22,New York,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,,,,,,
81646,3980,rv,11/7/22,"",38.3125,,25,30,,,31,37,,40,33,,31,28,,,,,,,,31,,,39,,32,,33,,33,37,,32,,,,,,43,,,,,,
81663,1007,a,11/13/22,"",34.5,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,,,,,,
81674,1000,rv,11/8/22,"",45.5,,,,,,,,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,,,,,,
81688,1203,lv,11/17/22,"",43,,,,,,,,,39,,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.5,,,,,,
81688,1500,rv,11/17/22,"",40,,,,,,,,,34,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,,,,,,
81690,2212,rv,11/17/22,"",42.5,,,,,,,,,42.5,,39.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.5,,,,,,
81693,600,lv,11/17/22,Florida,49.2,,,,,,,,,52.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,,,,,,
81694,1380,rv,11/19/22,"",41.6666666666667,,19,,,,,,,38.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.9,,,,,,
81695,1747,a,11/20/22,"",50.5,,,,,,,,,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,,,,,,
81702,1036,lv,11/19/22,"",42,,,,,,,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,,,,,,
81702,1036,rv,11/19/22,"",42.5,,,,,,,,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,,,,,,
81725,840,rv,11/22/22,"",43,,,,,,,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,,,,,,
81725,1004,a,11/22/22,"",38,,,,,,,,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,,,,,,
81734,888,lv,11/30/22,Georgia,43.25,,,,,,,,,46.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.1,,,,,,
81746,1767,lv,11/9/22,"",44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,,,,,,
81747,874,lv,11/9/22,Arizona,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,,,,,,
81748,1224,lv,11/9/22,Florida,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,,,,,,
81749,679,lv,11/9/22,Nevada,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,,,,,,
81756,1300,lv,11/28/22,Georgia,46.5,,,,,,,,,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,,,,,,
81768,1204,rv,12/5/22,"",44.5,,,,,,,,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,,,,,,
81768,1635,a,12/5/22,"",37,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,,,,,,
81772,1162,lv,12/5/22,"",41.5,,,,,,,,,40,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,,,,,,
81772,1500,rv,12/5/22,"",37,,,,,,,,,34,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,,,,,,
81796,600,lv,12/6/22,Michigan,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,,,,,,
81798,763,v,12/7/22,Michigan,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,,,,,,
81806,7000,rv,12/11/22,"",42.5,,,,,,,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,,,,,,
81807,1000,rv,12/11/22,"",45,,,,,,,,,46.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.5,,,,,,
81823,1500,rv,12/7/22,"",45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,,,,,,
81850,1000,lv,12/14/22,"",45,,,,,,,,,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.5,,,,,,
81853,1851,rv,12/15/22,"",39.5,,,,,,,,,44,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.5,,,,,,
81854,1021,lv,12/14/22,"",45,,,,,,,,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,,,,,,
81854,1021,rv,12/14/22,"",48.5,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,,,,,,
81858,7000,rv,12/18/22,"",43,,,,,,,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,,,,,,
81878,1041,rv,12/19/22,"",44,,,,,,,,,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,,,,,,
81921,8000,rv,1/2/23,"",43,,,,,,,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,
81935,1189,lv,12/29/22,"",47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,,,,,,
81953,7500,rv,1/8/23,"",43.5,,,,,,,,,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,,,,,,
81967,618,v,1/8/23,Arizona,36.1,,,,,,,,,43.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.3,,,,,,
81977,1642,rv,1/8/23,"",50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,
81977,2220,a,1/8/23,"",50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,
81980,1035,lv,1/8/23,"",45.5,,,,,,,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,,,,,,
81991,6000,rv,1/12/23,"",42,,,,,,,,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,
81997,1314,rv,1/17/23,"",44.5,,,,,,,,,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,,,,,,
81997,1500,a,1/17/23,"",41,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,,,,,,
82001,1028,rv,1/16/23,"",45,,,,,,,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,
82012,1458,lv,1/16/23,"",39.5,,,,,,,,,38,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.5,,,,,,
82012,2000,rv,1/16/23,"",36,,,,,,,,,30,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.5,,,,,,
82015,2050,rv,1/19/23,"",40,,,,,,,,,42.5,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,,,,,,
